Model,MAE,RMSE,R2
Linear Regression,226.36183744342785,693.3421556795372,0.186179065230355
Random Forest,215.6502821237166,684.4320943786859,0.20696130735922513
Tuned Random Forest,196.74427946511898,667.6206225946157,0.24544112506203242
